label,Column1,id,form_id,name,form,alias,image_name,category,weight,height,type_1,type_2,ability_1,ability_2,ability_3,last_gen,H,A,B,C,D,S
,0018-000,18,0,ピジョット,,ピジョット,,とりポケモン,39.5,1.5,ノーマル,ひこう,するどいめ,ちどりあし,はとむね,8,83,80,75,70,70,101
,0018-001,18,1,ピジョット,メガピジョット,メガピジョット,,とりポケモン,50.5,2.2,ノーマル,ひこう,ノーガード,はとむね,,7,83,80,75,70,70,101
,0019-000,19,0,コラッタ,,コラッタ,,ねずみポケモン,3.5,0.3,ノーマル,,にげあし,こんじょう,はりきり,8,30,56,35,25,35,72
,0019-001,19,1,コラッタ,アローラのすがた,コラッタ(アローラ),,ねずみポケモン,3.8,0.3,あく,ノーマル,くいしんぼう,はりきり,こんじょう,8,30,56,35,25,35,72
,0020-000,20,0,ラッタ,,ラッタ,,ねずみポケモン,18.5,0.7,ノーマル,,にげあし,こんじょう,はりきり,8,55,81,60,50,70,97
,0020-001,20,1,ラッタ,アローラのすがた,ラッタ(アローラ),,ねずみポケモン,25.5,0.7,あく,ノーマル,くいしんぼう,はりきり,こんじょう,8,55,81,60,50,70,97
,0021-000,21,0,オニスズメ,,オニスズメ,,ことりポケモン,2.0,0.3,ノーマル,ひこう,するどいめ,スナイパー,,8,40,60,30,31,31,70
,0022-000,22,0,オニドリル,,オニドリル,,くちばしポケモン,38.0,1.2,ノーマル,ひこう,するどいめ,スナイパー,,8,65,90,65,61,61,100
11.0,0023-000,23,0,アーボ,,アーボ,pm0023_00_00_00.png,へびポケモン,6.9,2.0,どく,,いかく,だっぴ,きんちょうかん,9,35,60,44,40,54,55
12.0,0024-000,24,0,アーボック,,アーボック,pm0024_00_00_00.png,コブラポケモン,65.0,3.5,どく,,いかく,だっぴ,きんちょうかん,9,60,95,69,65,79,80
13.0,0025-000,25,0,ピカチュウ,,ピカチュウ,pm0025_00_00_00.png,ねずみポケモン,6.0,0.4,でんき,,せいでんき,ひらいしん,,9,35,55,40,50,50,90
14.0,0025-000,25,1,ピカチュウ,オリジナルキャップ,ピカチュウ,pm0025_11_00_00.png,ねずみポケモン,6.0,0.4,でんき,,せいでんき,ひらいしん,,9,35,55,40,50,50,90
15.0,0025-000,25,2,ピカチュウ,ホウエンキャップ,ピカチュウ,pm0025_12_00_00.png,ねずみポケモン,6.0,0.4,でんき,,せいでんき,ひらいしん,,9,35,55,40,50,50,90
16.0,0025-000,25,3,ピカチュウ,シンオウキャップ,ピカチュウ,pm0025_13_00_00.png,ねずみポケモン,6.0,0.4,でんき,,せいでんき,ひらいしん,,9,35,55,40,50,50,90
17.0,0025-000,25,4,ピカチュウ,イッシュキャップ,ピカチュウ,pm0025_14_00_00.png,ねずみポケモン,6.0,0.4,でんき,,せいでんき,ひらいしん,,9,35,55,40,50,50,90
18.0,0025-000,25,5,ピカチュウ,カロスキャップ,ピカチュウ,pm0025_15_00_00.png,ねずみポケモン,6.0,0.4,でんき,,せいでんき,ひらいしん,,9,35,55,40,50,50,90
19.0,0025-000,25,6,ピカチュウ,アローラキャップ,ピカチュウ,pm0025_16_00_00.png,ねずみポケモン,6.0,0.4,でんき,,せいでんき,ひらいしん,,9,35,55,40,50,50,90
20.0,0025-000,25,7,ピカチュウ,キミにきめたキャップ,ピカチュウ,pm0025_17_00_00.png,ねずみポケモン,6.0,0.4,でんき,,せいでんき,ひらいしん,,9,35,55,40,50,50,90
21.0,0025-000,25,8,ピカチュウ,ワールドキャップ,ピカチュウ,pm0025_18_00_00.png,ねずみポケモン,6.0,0.4,でんき,,せいでんき,ひらいしん,,9,35,55,40,50,50,90
,0025-999,25,999,ピカチュウ,キョダイマックス,ピカチュウ(キョダイ),,-,9999.9,21.0,でんき,,せいでんき,ひらいしん,,8,35,55,40,50,50,90
22.0,0026-000,26,0,ライチュウ,,ライチュウ,pm0026_00_00_00.png,ねずみポケモン,30.0,0.8,でんき,,せいでんき,ひらいしん,,9,60,90,55,90,80,110
23.0,0026-001,26,1,ライチュウ,アローラのすがた,ライチュウ(アローラ),pm0026_00_11_00.png,ねずみポケモン,21.0,0.7,でんき,エスパー,サーフテール,ひらいしん,,9,60,85,50,95,85,110
24.0,0027-000,27,0,サンド,,サンド,pm0027_00_00_00.png,ねずみポケモン,12.0,0.6,じめん,,すながくれ,すなかき,,9,50,75,85,20,30,40
25.0,0027-001,27,1,サンド,アローラのすがた,サンド(アローラ),pm0027_00_11_00.png,ねずみポケモン,40.0,0.7,こおり,はがね,ゆきがくれ,すなかき,ゆきかき,9,50,75,90,10,35,40
26.0,0028-000,28,0,サンドパン,,サンドパン,pm0028_00_00_00.png,ねずみポケモン,29.5,1.0,じめん,,すながくれ,すなかき,,9,75,100,110,45,55,65
27.0,0028-001,28,1,サンドパン,アローラのすがた,サンドパン(アローラ),pm0028_00_11_00.png,ねずみポケモン,55.0,1.2,こおり,はがね,ゆきがくれ,すなかき,ゆきかき,9,75,100,120,25,65,65
,0029-000,29,0,ニドラン♀,,ニドラン♀,,どくばりポケモン,7.0,0.4,どく,,どくのトゲ,とうそうしん,はりきり,8,55,47,52,40,40,41
,0030-000,30,0,ニドリーナ,,ニドリーナ,,どくばりポケモン,20.0,0.8,どく,,どくのトゲ,とうそうしん,はりきり,8,70,62,67,55,55,56
,0031-000,31,0,ニドクイン,,ニドクイン,,ドリルポケモン,60.0,1.3,どく,じめん,どくのトゲ,とうそうしん,ちからずく,8,90,92,87,75,85,76
,0032-000,32,0,ニドラン♂,,ニドラン♂,,どくばりポケモン,9.0,0.5,どく,,どくのトゲ,とうそうしん,はりきり,8,46,57,40,40,40,50
,0033-000,33,0,ニドリーノ,,ニドリーノ,,どくばりポケモン,19.5,0.9,どく,,どくのトゲ,とうそうしん,はりきり,8,61,72,57,55,55,65
,0034-000,34,0,ニドキング,,ニドキング,,ドリルポケモン,62.0,1.4,どく,じめん,どくのトゲ,とうそうしん,ちからずく,8,81,102,77,85,75,85
28.0,0035-000,35,0,ピッピ,,ピッピ,pm0035_00_00_00.png,ようせいポケモン,7.5,0.6,フェアリー,,メロメロボディ,マジックガード,フレンドガード,9,70,45,48,60,65,35
29.0,0036-000,36,0,ピクシー,,ピクシー,pm0036_00_00_00.png,ようせいポケモン,40.0,1.3,フェアリー,,メロメロボディ,マジックガード,てんねん,9,95,70,73,95,90,60
30.0,0037-000,37,0,ロコン,,ロコン,pm0037_00_00_00.png,きつねポケモン,9.9,0.6,ほのお,,もらいび,ひでり,,9,38,41,40,50,65,65
31.0,0037-001,37,1,ロコン,アローラのすがた,ロコン(アローラ),pm0037_00_11_00.png,きつねポケモン,9.9,0.6,こおり,,ゆきがくれ,ひでり,ゆきふらし,9,38,41,40,50,65,65
32.0,0038-000,38,0,キュウコン,,キュウコン,pm0038_00_00_00.png,きつねポケモン,19.9,1.1,ほのお,,もらいび,ひでり,,9,73,76,75,81,100,100
33.0,0038-001,38,1,キュウコン,アローラのすがた,キュウコン(アローラ),pm0038_00_11_00.png,きつねポケモン,19.9,1.1,こおり,フェアリー,ゆきがくれ,ひでり,ゆきふらし,9,73,67,75,81,100,109
34.0,0039-000,39,0,プリン,,プリン,pm0039_00_00_00.png,ふうせんポケモン,5.5,0.5,ノーマル,フェアリー,メロメロボディ,かちき,フレンドガード,9,115,45,20,45,25,20
35.0,0040-000,40,0,プクリン,,プクリン,pm0040_00_00_00.png,ふうせんポケモン,12.0,1.0,ノーマル,フェアリー,メロメロボディ,かちき,おみとおし,9,140,70,45,85,50,45
,0041-000,41,0,ズバット,,ズバット,,こうもりポケモン,7.5,0.8,どく,ひこう,せいしんりょく,すりぬけ,,8,40,45,35,30,40,55
,0042-000,42,0,ゴルバット,,ゴルバット,,こうもりポケモン,55.0,1.6,どく,ひこう,せいしんりょく,すりぬけ,,8,75,80,70,65,75,90
36.0,0043-000,43,0,ナゾノクサ,,ナゾノクサ,pm0043_00_00_00.png,ざっそうポケモン,5.4,0.5,くさ,どく,ようりょくそ,にげあし,,9,45,50,55,75,65,30
37.0,0044-000,44,0,クサイハナ,,クサイハナ,pm0044_00_00_00.png,ざっそうポケモン,8.6,0.8,くさ,どく,ようりょくそ,あくしゅう,,9,60,65,70,85,75,40
38.0,0045-000,45,0,ラフレシア,,ラフレシア,pm0045_00_00_00.png,フラワーポケモン,18.6,1.2,くさ,どく,ようりょくそ,ほうし,,9,75,80,85,110,90,50
,0046-000,46,0,パラス,,パラス,,きのこポケモン,5.4,0.3,むし,くさ,ほうし,かんそうはだ,しめりけ,8,35,70,55,45,55,25
,0047-000,47,0,パラセクト,,パラセクト,,きのこポケモン,29.5,1.0,むし,くさ,ほうし,かんそうはだ,しめりけ,8,60,95,80,60,80,30
39.0,0048-000,48,0,コンパン,,コンパン,pm0048_00_00_00.png,こんちゅうポケモン,30.0,1.0,むし,どく,ふくがん,いろめがね,にげあし,9,60,55,50,40,55,45
40.0,0049-000,49,0,モルフォン,,モルフォン,pm0049_00_00_00.png,どくがポケモン,12.5,1.5,むし,どく,りんぷん,いろめがね,ミラクルスキン,9,70,65,60,90,75,90
41.0,0050-000,50,0,ディグダ,,ディグダ,pm0050_00_00_00.png,もぐらポケモン,0.8,0.2,じめん,,すながくれ,ありじごく,すなのちから,9,10,55,25,35,45,95
42.0,0050-001,50,1,ディグダ,アローラのすがた,ディグダ(アローラ),pm0050_00_11_00.png,もぐらポケモン,1.0,0.2,じめん,はがね,すながくれ,カーリーヘアー,すなのちから,9,10,55,30,35,45,90
43.0,0051-000,51,0,ダグトリオ,,ダグトリオ,pm0051_00_00_00.png,もぐらポケモン,33.3,0.7,じめん,,すながくれ,ありじごく,すなのちから,9,35,100,50,50,70,120
44.0,0051-001,51,1,ダグトリオ,アローラのすがた,ダグトリオ(アローラ),pm0051_00_11_00.png,もぐらポケモン,66.6,0.7,じめん,はがね,すながくれ,カーリーヘアー,すなのちから,9,35,100,60,50,70,110
45.0,0052-000,52,0,ニャース,,ニャース,pm0052_00_00_00.png,ばけねこポケモン,4.2,0.4,ノーマル,,ものひろい,テクニシャン,きんちょうかん,9,40,45,35,40,40,90
46.0,0052-001,52,1,ニャース,アローラのすがた,ニャース(アローラ),pm0052_00_11_00.png,ばけねこポケモン,4.2,0.4,あく,,ものひろい,テクニシャン,きんちょうかん,9,40,35,35,50,40,90
47.0,0052-002,52,2,ニャース,ガラルのすがた,ニャース(ガラル),pm0052_00_31_00.png,ばけねこポケモン,7.5,0.4,はがね,,ものひろい,かたいツメ,きんちょうかん,9,50,65,55,40,40,40
,0052-999,52,999,ニャース,キョダイマックス,ニャース(キョダイ),,-,9999.9,33.0,ノーマル,,ものひろい,テクニシャン,きんちょうかん,8,40,45,35,40,40,90
48.0,0053-000,53,0,ペルシアン,,ペルシアン,pm0053_00_00_00.png,シャムネコポケモン,32.0,1.0,ノーマル,,じゅうなん,テクニシャン,きんちょうかん,9,65,70,60,65,65,115
49.0,0053-001,53,1,ペルシアン,アローラのすがた,ペルシアン(アローラ),pm0053_00_11_00.png,シャムネコポケモン,33.0,1.1,あく,,ファーコート,テクニシャン,きんちょうかん,9,65,60,60,75,65,115
50.0,0054-000,54,0,コダック,,コダック,pm0054_00_00_00.png,あひるポケモン,19.6,0.8,みず,,しめりけ,ノーてんき,すいすい,9,50,52,48,65,50,55
51.0,0055-000,55,0,ゴルダック,,ゴルダック,pm0055_00_00_00.png,あひるポケモン,76.6,1.7,みず,,しめりけ,ノーてんき,すいすい,9,80,82,78,95,80,85
52.0,0056-000,56,0,マンキー,,マンキー,pm0056_00_00_00.png,ぶたざるポケモン,28.0,0.5,かくとう,,やるき,いかりのつぼ,まけんき,9,40,80,35,35,45,70
53.0,0057-000,57,0,オコリザル,,オコリザル,pm0057_00_00_00.png,ぶたざるポケモン,32.0,1.0,かくとう,,やるき,いかりのつぼ,まけんき,9,65,105,60,60,70,95
54.0,0058-000,58,0,ガーディ,,ガーディ,pm0058_00_00_00.png,こいぬポケモン,19.0,0.7,ほのお,,いかく,もらいび,せいぎのこころ,9,55,70,45,70,50,60
55.0,0058-001,58,1,ガーディ,ヒスイのすがた,ガーディ(ヒスイ),pm0058_00_41_00.png,みはりポケモン,22.7,0.8,ほのお,いわ,いかく,もらいび,せいぎのこころ,9,60,75,45,65,50,55
56.0,0059-000,59,0,ウインディ,,ウインディ,pm0059_00_00_00.png,でんせつポケモン,155.0,1.9,ほのお,,いかく,もらいび,せいぎのこころ,9,90,110,80,100,80,95
57.0,0059-001,59,1,ウインディ,ヒスイのすがた,ウインディ(ヒスイ),pm0059_00_41_00.png,でんせつポケモン,168.0,2.0,ほのお,いわ,いかく,もらいび,せいぎのこころ,9,95,115,80,95,80,90
58.0,0060-000,60,0,ニョロモ,,ニョロモ,pm0060_00_00_00.png,おたまポケモン,12.4,0.6,みず,,ちょすい,しめりけ,すいすい,9,40,50,40,40,40,90
59.0,0061-000,61,0,ニョロゾ,,ニョロゾ,pm0061_00_00_00.png,おたまポケモン,20.0,1.0,みず,,ちょすい,しめりけ,すいすい,9,65,65,65,50,50,90
60.0,0062-000,62,0,ニョロボン,,ニョロボン,pm0062_00_00_00.png,おたまポケモン,54.0,1.3,みず,かくとう,ちょすい,しめりけ,すいすい,9,90,95,95,70,90,70
,0063-000,63,0,ケーシィ,,ケーシィ,,ねんりきポケモン,19.5,0.9,エスパー,,シンクロ,せいしんりょく,マジックガード,8,25,20,15,105,55,90
,0064-000,64,0,ユンゲラー,,ユンゲラー,,ねんりきポケモン,56.5,1.3,エスパー,,シンクロ,せいしんりょく,マジックガード,8,40,35,30,120,70,105
,0065-000,65,0,フーディン,,フーディン,,ねんりきポケモン,48.0,1.5,エスパー,,シンクロ,せいしんりょく,マジックガード,8,55,50,45,135,95,120
,0065-001,65,1,フーディン,メガフーディン,メガフーディン,,ねんりきポケモン,48.0,1.2,エスパー,,トレース,マジックガード,,7,55,50,45,135,95,120
,0066-000,66,0,ワンリキー,,ワンリキー,,かいりきポケモン,19.5,0.8,かくとう,,こんじょう,ノーガード,ふくつのこころ,8,70,80,50,35,35,35
,0067-000,67,0,ゴーリキー,,ゴーリキー,,かいりきポケモン,70.5,1.5,かくとう,,こんじょう,ノーガード,ふくつのこころ,8,80,100,70,50,60,45
,0068-000,68,0,カイリキー,,カイリキー,,かいりきポケモン,130.0,1.6,かくとう,,こんじょう,ノーガード,ふくつのこころ,8,90,130,80,65,85,55
,0068-999,68,999,カイリキー,キョダイマックス,カイリキー(キョダイ),,-,9999.9,25.0,かくとう,,こんじょう,ノーガード,ふくつのこころ,8,90,130,80,65,85,55
61.0,0069-000,69,0,マダツボミ,,マダツボミ,pm0069_00_00_00.png,フラワーポケモン,4.0,0.7,くさ,どく,ようりょくそ,くいしんぼう,,9,50,75,35,70,30,40
62.0,0070-000,70,0,ウツドン,,ウツドン,pm0070_00_00_00.png,ハエとりポケモン,6.4,1.0,くさ,どく,ようりょくそ,くいしんぼう,,9,65,90,50,85,45,55
63.0,0071-000,71,0,ウツボット,,ウツボット,pm0071_00_00_00.png,ハエとりポケモン,15.5,1.7,くさ,どく,ようりょくそ,くいしんぼう,,9,80,105,65,100,70,70
64.0,0072-000,72,0,メノクラゲ,,メノクラゲ,pm0072_00_00_00.png,くらげポケモン,45.5,0.9,みず,どく,クリアボディ,ヘドロえき,あめうけざら,9,40,40,35,50,100,70
65.0,0073-000,73,0,ドククラゲ,,ドククラゲ,pm0073_00_00_00.png,くらげポケモン,55.0,1.6,みず,どく,クリアボディ,ヘドロえき,あめうけざら,9,80,70,65,80,120,100
66.0,0074-000,74,0,イシツブテ,,イシツブテ,pm0074_00_00_00.png,がんせきポケモン,20.0,0.4,いわ,じめん,いしあたま,がんじょう,すながくれ,9,40,80,100,30,30,20
67.0,0074-001,74,1,イシツブテ,アローラのすがた,イシツブテ(アローラ),pm0074_00_11_00.png,がんせきポケモン,20.3,0.4,いわ,でんき,じりょく,がんじょう,すながくれ,9,40,80,100,30,30,20
68.0,0075-000,75,0,ゴローン,,ゴローン,pm0075_00_00_00.png,がんせきポケモン,105.0,1.0,いわ,じめん,いしあたま,がんじょう,すながくれ,9,55,95,115,45,45,35
70.0,0075-001,75,1,ゴローン,アローラのすがた,ゴローン(アローラ),pm0075_00_11_00.png,がんせきポケモン,110.0,1.0,いわ,でんき,じりょく,がんじょう,すながくれ,9,55,95,115,45,45,35
72.0,0076-000,76,0,ゴローニャ,,ゴローニャ,pm0076_00_00_00.png,メガトンポケモン,300.0,1.4,いわ,じめん,いしあたま,がんじょう,すながくれ,9,80,120,130,55,65,45
73.0,0076-001,76,1,ゴローニャ,アローラのすがた,ゴローニャ(アローラ),pm0076_00_11_00.png,メガトンポケモン,316.0,1.7,いわ,でんき,じりょく,がんじょう,すながくれ,9,80,120,130,55,65,45
,0077-000,77,0,ポニータ,,ポニータ,,ひのうまポケモン,30.0,1.0,ほのお,,にげあし,もらいび,ほのおのからだ,8,50,85,55,65,65,90
,0077-001,77,1,ポニータ,ガラルのすがた,ポニータ(ガラル),,いっかくポケモン,24.0,0.8,エスパー,,にげあし,パステルベール,ほのおのからだ,8,50,85,55,65,65,90
,0078-000,78,0,ギャロップ,,ギャロップ,,ひのうまポケモン,95.0,1.7,ほのお,,にげあし,もらいび,ほのおのからだ,8,65,100,70,80,80,105
,0078-001,78,1,ギャロップ,ガラルのすがた,ギャロップ(ガラル),,いっかくポケモン,80.0,1.7,エスパー,フェアリー,にげあし,パステルベール,ほのおのからだ,8,65,100,70,80,80,105
74.0,0079-000,79,0,ヤドン,,ヤドン,pm0079_00_00_00.png,まぬけポケモン,36.0,1.2,みず,エスパー,どんかん,マイペース,さいせいりょく,9,90,65,65,40,40,15
75.0,0079-001,79,1,ヤドン,ガラルのすがた,ヤドン(ガラル),pm0079_00_31_00.png,まぬけポケモン,36.0,1.2,エスパー,,くいしんぼう,マイペース,さいせいりょく,9,90,65,65,40,40,15
76.0,0080-000,80,0,ヤドラン,,ヤドラン,pm0080_00_00_00.png,やどかりポケモン,78.5,1.6,みず,エスパー,どんかん,マイペース,さいせいりょく,9,95,75,110,100,80,30
,0080-001,80,1,ヤドラン,メガヤドラン,メガヤドラン,,やどかりポケモン,120.0,2.0,みず,エスパー,シェルアーマー,さいせいりょく,,7,95,75,110,100,80,30
77.0,0080-002,80,2,ヤドラン,ガラルのすがた,ヤドラン(ガラル),pm0080_00_31_00.png,やどかりポケモン,70.5,1.6,どく,エスパー,クイックドロウ,マイペース,さいせいりょく,9,95,100,95,100,70,30
78.0,0081-000,81,0,コイル,,コイル,pm0081_00_00_00.png,じしゃくポケモン,6.0,0.3,でんき,はがね,じりょく,がんじょう,アナライズ,9,25,35,70,95,55,45
79.0,0082-000,82,0,レアコイル,,レアコイル,pm0082_00_00_00.png,じしゃくポケモン,60.0,1.0,でんき,はがね,じりょく,がんじょう,アナライズ,9,50,60,95,120,70,70
,0083-000,83,0,カモネギ,,カモネギ,,かるがもポケモン,15.0,0.8,ノーマル,ひこう,するどいめ,せいしんりょく,まけんき,8,52,90,55,58,62,60
,0083-001,83,1,カモネギ,ガラルのすがた,カモネギ(ガラル),,かるがもポケモン,42.0,0.8,かくとう,,ふくつのこころ,まけんき,きもったま,8,52,95,55,58,62,55
80.0,0084-000,84,0,ドードー,,ドードー,pm0084_00_00_00.png,ふたごどりポケモン,39.2,1.4,ノーマル,ひこう,にげあし,はやおき,ちどりあし,9,35,85,45,35,35,75
81.0,0085-000,85,0,ドードリオ,,ドードリオ,pm0085_00_00_00.png,みつごどりポケモン,85.2,1.8,ノーマル,ひこう,にげあし,はやおき,ちどりあし,9,60,110,70,60,60,110
82.0,0086-000,86,0,パウワウ,,パウワウ,pm0086_00_00_00.png,あしかポケモン,90.0,1.1,みず,,あついしぼう,うるおいボディ,アイスボディ,9,65,45,55,45,70,45
83.0,0087-000,87,0,ジュゴン,,ジュゴン,pm0087_00_00_00.png,あしかポケモン,120.0,1.7,みず,こおり,あついしぼう,うるおいボディ,アイスボディ,9,90,70,80,70,95,70
84.0,0088-000,88,0,ベトベター,,ベトベター,pm0088_00_00_00.png,ヘドロポケモン,30.0,0.9,どく,,あくしゅう,ねんちゃく,どくしゅ,9,80,80,50,40,50,25
85.0,0088-001,88,1,ベトベター,アローラのすがた,ベトベター(アローラ),pm0088_00_11_00.png,ヘドロポケモン,42.0,0.7,どく,あく,どくしゅ,くいしんぼう,ねんちゃく,9,80,80,50,40,50,25
86.0,0089-000,89,0,ベトベトン,,ベトベトン,pm0089_00_00_00.png,ヘドロポケモン,30.0,1.2,どく,,あくしゅう,ねんちゃく,どくしゅ,9,105,105,75,65,100,50
87.0,0089-001,89,1,ベトベトン,アローラのすがた,ベトベトン(アローラ),pm0089_00_11_00.png,ヘドロポケモン,52.0,1.0,どく,あく,どくしゅ,くいしんぼう,ねんちゃく,9,105,105,75,65,100,50
88.0,0090-000,90,0,シェルダー,,シェルダー,pm0090_00_00_00.png,２まいがいポケモン,4.0,0.3,みず,,シェルアーマー,スキルリンク,ぼうじん,9,30,65,100,45,25,40
89.0,0091-000,91,0,パルシェン,,パルシェン,pm0091_00_00_00.png,２まいがいポケモン,132.5,1.5,みず,こおり,シェルアーマー,スキルリンク,ぼうじん,9,50,95,180,85,45,70
90.0,0092-000,92,0,ゴース,,ゴース,pm0092_00_00_00.png,ガスじょうポケモン,0.1,1.3,ゴースト,どく,ふゆう,,,9,30,35,30,100,35,80
91.0,0093-000,93,0,ゴースト,,ゴースト,pm0093_00_00_00.png,ガスじょうポケモン,0.1,1.6,ゴースト,どく,ふゆう,,,9,45,50,45,115,55,95
92.0,0094-000,94,0,ゲンガー,,ゲンガー,pm0094_00_00_00.png,シャドーポケモン,40.5,1.5,ゴースト,どく,のろわれボディ,,,9,60,65,60,130,75,110
,0094-001,94,1,ゲンガー,メガゲンガー,メガゲンガー,,シャドーポケモン,40.5,1.4,ゴースト,どく,かげふみ,のろわれボディ,,7,60,65,60,130,75,110
,0094-999,94,999,ゲンガー,キョダイマックス,ゲンガー(キョダイ),,-,9999.9,20.0,ゴースト,どく,のろわれボディ,,,8,60,65,60,130,75,110
,0095-000,95,0,イワーク,,イワーク,,いわへびポケモン,210.0,8.8,いわ,じめん,いしあたま,がんじょう,くだけるよろい,8,35,45,160,30,45,70
93.0,0096-000,96,0,スリープ,,スリープ,pm0096_00_00_00.png,さいみんポケモン,32.4,1.0,エスパー,,ふみん,よちむ,せいしんりょく,9,60,48,45,43,90,42
94.0,0097-000,97,0,スリーパー,,スリーパー,pm0097_00_00_00.png,さいみんポケモン,75.6,1.6,エスパー,,ふみん,よちむ,せいしんりょく,9,85,73,70,73,115,67
,0098-000,98,0,クラブ,,クラブ,,さわがにポケモン,6.5,0.4,みず,,かいりきバサミ,シェルアーマー,ちからずく,8,30,105,90,25,25,50
,0099-000,99,0,キングラー,,キングラー,,はさみポケモン,60.0,1.3,みず,,かいりきバサミ,シェルアーマー,ちからずく,8,55,130,115,50,50,75
,0099-999,99,999,キングラー,キョダイマックス,キングラー(キョダイ),,-,9999.9,19.0,みず,,かいりきバサミ,シェルアーマー,ちからずく,8,55,130,115,50,50,75
95.0,0100-000,100,0,ビリリダマ,,ビリリダマ,pm0100_00_00_00.png,ボールポケモン,10.4,0.5,でんき,,ぼうおん,せいでんき,ゆうばく,9,40,30,50,55,55,100
